"","Year","Award","Nominee","Winner"
"678","2005","ART DIRECTION","Pride & Prejudice","NO"
"679","2005","CINEMATOGRAPHY","Batman Begins","NO"
"680","2005","CINEMATOGRAPHY","Brokeback Mountain","NO"
"681","2005","CINEMATOGRAPHY","Good Night, and Good Luck.","NO"
"682","2005","CINEMATOGRAPHY","Memoirs of a Geisha","YES"
"683","2005","CINEMATOGRAPHY","The New World","NO"
"684","2005","COSTUME DESIGN","Charlie and the Chocolate Factory","NO"
"685","2005","COSTUME DESIGN","Memoirs of a Geisha","YES"
"686","2005","COSTUME DESIGN","Mrs. Henderson Presents","NO"
"687","2005","COSTUME DESIGN","Pride & Prejudice","NO"
"688","2005","COSTUME DESIGN","Walk the Line","NO"
"689","2005","DIRECTING","Brokeback Mountain","YES"
"690","2005","DIRECTING","Capote","NO"
"691","2005","DIRECTING","Crash","NO"
"692","2005","DIRECTING","Good Night, and Good Luck.","NO"
"693","2005","DIRECTING","Munich","NO"
"703","2005","FILM EDITING","Cinderella Man","NO"
"704","2005","FILM EDITING","The Constant Gardener","NO"
"705","2005","FILM EDITING","Crash","YES"
"706","2005","FILM EDITING","Munich","NO"
"707","2005","FILM EDITING","Walk the Line","NO"
"713","2005","MAKEUP","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","YES"
"714","2005","MAKEUP","Cinderella Man","NO"
"715","2005","MAKEUP","Star Wars: Episode III Revenge of the Sith","NO"
"716","2005","Music (Scoring)","Brokeback Mountain","YES"
"717","2005","Music (Scoring)","The Constant Gardener","NO"
"718","2005","Music (Scoring)","Memoirs of a Geisha","NO"
"719","2005","Music (Scoring)","Munich","NO"
"720","2005","Music (Scoring)","Pride & Prejudice","NO"
"721","2005","Music (Song)","Crash","NO"
"722","2005","Music (Song)","Hustle & Flow","YES"
"723","2005","Music (Song)","Transamerica","NO"
"724","2005","BEST PICTURE","Brokeback Mountain","NO"
"725","2005","BEST PICTURE","Capote","NO"
"726","2005","BEST PICTURE","Crash","YES"
"727","2005","BEST PICTURE","Good Night, and Good Luck.","NO"
"728","2005","BEST PICTURE","Munich","NO"
"739","2005","SOUND MIXING","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","NO"
"740","2005","SOUND MIXING","King Kong","YES"
"741","2005","SOUND MIXING","Memoirs of a Geisha","NO"
"742","2005","SOUND MIXING","Walk the Line","NO"
"743","2005","SOUND MIXING","War of the Worlds","NO"
"744","2005","SOUND EDITING","King Kong","YES"
"745","2005","SOUND EDITING","Memoirs of a Geisha","NO"
"746","2005","SOUND EDITING","War of the Worlds","NO"
"747","2005","VISUAL EFFECTS","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","NO"
"748","2005","VISUAL EFFECTS","King Kong","YES"
"749","2005","VISUAL EFFECTS","War of the Worlds","NO"
"750","2005","Writing","Brokeback Mountain","YES"
"751","2005","Writing","Capote","NO"
"752","2005","Writing","The Constant Gardener","NO"
"753","2005","Writing","A History of Violence","NO"
"754","2005","Writing","Munich","NO"
"755","2005","Writing","Crash","YES"
"756","2005","Writing","Good Night, and Good Luck.","NO"
"757","2005","Writing","Match Point","NO"
"758","2005","Writing","The Squid and the Whale","NO"
"759","2005","Writing","Syriana","NO"
"780","2004","ACTOR IN A LEADING ROLE","Hotel Rwanda ","NO"
"781","2004","ACTOR IN A LEADING ROLE","Finding Neverland ","NO"
"782","2004","ACTOR IN A LEADING ROLE","The Aviator ","NO"
"783","2004","ACTOR IN A LEADING ROLE","Million Dollar Baby ","NO"
"784","2004","ACTOR IN A LEADING ROLE","Ray ","YES"
"785","2004","ACTOR IN A SUPPORTING ROLE","The Aviator ","NO"
"786","2004","ACTOR IN A SUPPORTING ROLE","Sideways ","NO"
"787","2004","ACTOR IN A SUPPORTING ROLE","Collateral ","NO"
"788","2004","ACTOR IN A SUPPORTING ROLE","Million Dollar Baby ","YES"
"789","2004","ACTOR IN A SUPPORTING ROLE","Closer ","NO"
"790","2004","ACTRESS IN A LEADING ROLE","Being Julia ","NO"
"791","2004","ACTRESS IN A LEADING ROLE","Maria Full of Grace ","NO"
"792","2004","ACTRESS IN A LEADING ROLE","Vera Drake ","NO"
"793","2004","ACTRESS IN A LEADING ROLE","Million Dollar Baby ","YES"
"794","2004","ACTRESS IN A LEADING ROLE","Eternal Sunshine of the Spotless Mind ","NO"
"795","2004","ACTRESS IN A SUPPORTING ROLE","The Aviator ","YES"
"796","2004","ACTRESS IN A SUPPORTING ROLE","Kinsey ","NO"
"797","2004","ACTRESS IN A SUPPORTING ROLE","Sideways ","NO"
"798","2004","ACTRESS IN A SUPPORTING ROLE","Hotel Rwanda ","NO"
"799","2004","ACTRESS IN A SUPPORTING ROLE","Closer ","NO"
"803","2004","ART DIRECTION","The Aviator","YES"
"804","2004","ART DIRECTION","Finding Neverland","NO"
"805","2004","ART DIRECTION","Lemony Snicket's A Series of Unfortunate Events","NO"
"806","2004","ART DIRECTION","The Phantom of the Opera","NO"
"807","2004","ART DIRECTION","A Very Long Engagement","NO"
"808","2004","CINEMATOGRAPHY","The Aviator","YES"
"809","2004","CINEMATOGRAPHY","House of Flying Daggers","NO"
"810","2004","CINEMATOGRAPHY","The Passion of the Christ","NO"
"811","2004","CINEMATOGRAPHY","The Phantom of the Opera","NO"
"812","2004","CINEMATOGRAPHY","A Very Long Engagement","NO"
"813","2004","COSTUME DESIGN","The Aviator","YES"
"814","2004","COSTUME DESIGN","Finding Neverland","NO"
"815","2004","COSTUME DESIGN","Lemony Snicket's A Series of Unfortunate Events","NO"
"816","2004","COSTUME DESIGN","Ray","NO"
"817","2004","COSTUME DESIGN","Troy","NO"
"818","2004","DIRECTING","The Aviator","NO"
"819","2004","DIRECTING","Million Dollar Baby","YES"
"820","2004","DIRECTING","Ray","NO"
"821","2004","DIRECTING","Sideways","NO"
"822","2004","DIRECTING","Vera Drake","NO"
"833","2004","FILM EDITING","The Aviator","YES"
"834","2004","FILM EDITING","Collateral","NO"
"835","2004","FILM EDITING","Finding Neverland","NO"
"836","2004","FILM EDITING","Million Dollar Baby","NO"
"837","2004","FILM EDITING","Ray","NO"
"843","2004","MAKEUP","Lemony Snicket's A Series of Unfortunate Events","YES"
"844","2004","MAKEUP","The Passion of the Christ","NO"
"845","2004","MAKEUP","The Sea Inside","NO"
"846","2004","Music (Scoring)","Finding Neverland","YES"
"847","2004","Music (Scoring)","Harry Potter and the Prisoner of Azkaban","NO"
"848","2004","Music (Scoring)","Lemony Snicket's A Series of Unfortunate Events","NO"
"849","2004","Music (Scoring)","The Passion of the Christ","NO"
"850","2004","Music (Scoring)","The Village","NO"
"851","2004","Music (Song)","Shrek 2","NO"
"852","2004","Music (Song)","The Motorcycle Diaries","YES"
"853","2004","Music (Song)","The Polar Express","NO"
"854","2004","Music (Song)","The Phantom of the Opera","NO"
"855","2004","Music (Song)","The Chorus (Les Choristes)","NO"
"856","2004","BEST PICTURE","The Aviator","NO"
"857","2004","BEST PICTURE","Finding Neverland","NO"
"858","2004","BEST PICTURE","Million Dollar Baby","YES"
"859","2004","BEST PICTURE","Ray","NO"
"860","2004","BEST PICTURE","Sideways","NO"
"871","2004","SOUND MIXING","The Aviator","NO"
"872","2004","SOUND MIXING","The Incredibles","NO"
"873","2004","SOUND MIXING","The Polar Express","NO"
"874","2004","SOUND MIXING","Ray","YES"
"875","2004","SOUND MIXING","Spider-Man 2","NO"
"876","2004","SOUND EDITING","The Incredibles","YES"
"877","2004","SOUND EDITING","The Polar Express","NO"
"878","2004","SOUND EDITING","Spider-Man 2","NO"
"879","2004","VISUAL EFFECTS","Harry Potter and the Prisoner of Azkaban","NO"
"880","2004","VISUAL EFFECTS","I, Robot","NO"
"881","2004","VISUAL EFFECTS","Spider-Man 2","YES"
"882","2004","Writing","Before Sunset","NO"
"883","2004","Writing","Finding Neverland","NO"
"884","2004","Writing","Million Dollar Baby","NO"
"885","2004","Writing","The Motorcycle Diaries","NO"
"886","2004","Writing","Sideways","YES"
"887","2004","Writing","The Aviator","NO"
"888","2004","Writing","Eternal Sunshine of the Spotless Mind","YES"
"889","2004","Writing","Hotel Rwanda","NO"
"890","2004","Writing","The Incredibles","NO"
"891","2004","Writing","Vera Drake","NO"
"909","2003","ACTOR IN A LEADING ROLE","Pirates of the Caribbean: The Curse of the Black Pearl ","NO"
"910","2003","ACTOR IN A LEADING ROLE","House of Sand and Fog ","NO"
"911","2003","ACTOR IN A LEADING ROLE","Cold Mountain ","NO"
"912","2003","ACTOR IN A LEADING ROLE","Lost in Translation ","NO"
"913","2003","ACTOR IN A LEADING ROLE","Mystic River ","YES"
"914","2003","ACTOR IN A SUPPORTING ROLE","The Cooler ","NO"
"915","2003","ACTOR IN A SUPPORTING ROLE","21 Grams ","NO"
"916","2003","ACTOR IN A SUPPORTING ROLE","In America ","NO"
"917","2003","ACTOR IN A SUPPORTING ROLE","Mystic River ","YES"
"918","2003","ACTOR IN A SUPPORTING ROLE","The Last Samurai ","NO"
"919","2003","ACTRESS IN A LEADING ROLE","Whale Rider ","NO"
"920","2003","ACTRESS IN A LEADING ROLE","Something's Gotta Give ","NO"
"921","2003","ACTRESS IN A LEADING ROLE","In America ","NO"
"922","2003","ACTRESS IN A LEADING ROLE","Monster ","YES"
"923","2003","ACTRESS IN A LEADING ROLE","21 Grams ","NO"
"924","2003","ACTRESS IN A SUPPORTING ROLE","House of Sand and Fog ","NO"
"925","2003","ACTRESS IN A SUPPORTING ROLE","Pieces of April ","NO"
"926","2003","ACTRESS IN A SUPPORTING ROLE","Mystic River ","NO"
"927","2003","ACTRESS IN A SUPPORTING ROLE","Thirteen ","NO"
"928","2003","ACTRESS IN A SUPPORTING ROLE","Cold Mountain ","YES"
"932","2003","ART DIRECTION","Girl with a Pearl Earring","NO"
"933","2003","ART DIRECTION","The Last Samurai","NO"
"934","2003","ART DIRECTION","The Lord of the Rings: The Return of the King","YES"
"935","2003","ART DIRECTION","Master and Commander: The Far Side of the World","NO"
"936","2003","ART DIRECTION","Seabiscuit","NO"
"937","2003","CINEMATOGRAPHY","City of God","NO"
"938","2003","CINEMATOGRAPHY","Cold Mountain","NO"
"939","2003","CINEMATOGRAPHY","Girl with a Pearl Earring","NO"
"940","2003","CINEMATOGRAPHY","Master and Commander: The Far Side of the World","YES"
"941","2003","CINEMATOGRAPHY","Seabiscuit","NO"
"942","2003","COSTUME DESIGN","Girl with a Pearl Earring","NO"
"943","2003","COSTUME DESIGN","The Last Samurai","NO"
"944","2003","COSTUME DESIGN","The Lord of the Rings: The Return of the King","YES"
"945","2003","COSTUME DESIGN","Master and Commander: The Far Side of the World","NO"
"946","2003","COSTUME DESIGN","Seabiscuit","NO"
"947","2003","DIRECTING","City of God","NO"
"948","2003","DIRECTING","The Lord of the Rings: The Return of the King","YES"
"949","2003","DIRECTING","Lost in Translation","NO"
"950","2003","DIRECTING","Master and Commander: The Far Side of the World","NO"
"951","2003","DIRECTING","Mystic River","NO"
"960","2003","FILM EDITING","City of God","NO"
"961","2003","FILM EDITING","Cold Mountain","NO"
"962","2003","FILM EDITING","The Lord of the Rings: The Return of the King","YES"
"963","2003","FILM EDITING","Master and Commander: The Far Side of the World","NO"
"964","2003","FILM EDITING","Seabiscuit","NO"
"970","2003","MAKEUP","The Lord of the Rings: The Return of the King","YES"
"971","2003","MAKEUP","Master and Commander: The Far Side of the World","NO"
"972","2003","MAKEUP","Pirates of the Caribbean: The Curse of the Black Pearl","NO"
"973","2003","Music (Scoring)","Big Fish","NO"
"974","2003","Music (Scoring)","Cold Mountain","NO"
"975","2003","Music (Scoring)","Finding Nemo","NO"
"976","2003","Music (Scoring)","House of Sand and Fog","NO"
"977","2003","Music (Scoring)","The Lord of the Rings: The Return of the King","YES"
"978","2003","Music (Song)","The Triplets of Belleville","NO"
"979","2003","Music (Song)","The Lord of the Rings: The Return of the King","YES"
"980","2003","Music (Song)","A Mighty Wind","NO"
"981","2003","Music (Song)","Cold Mountain","NO"
"982","2003","Music (Song)","Cold Mountain","NO"
"983","2003","BEST PICTURE","The Lord of the Rings: The Return of the King","YES"
"984","2003","BEST PICTURE","Lost in Translation","NO"
"985","2003","BEST PICTURE","Master and Commander: The Far Side of the World","NO"
"986","2003","BEST PICTURE","Mystic River","NO"
"987","2003","BEST PICTURE","Seabiscuit","NO"
"998","2003","SOUND MIXING","The Last Samurai","NO"
"999","2003","SOUND MIXING","The Lord of the Rings: The Return of the King","YES"
"1000","2003","SOUND MIXING","Master and Commander: The Far Side of the World","NO"
"1001","2003","SOUND MIXING","Pirates of the Caribbean: The Curse of the Black Pearl","NO"
"1002","2003","SOUND MIXING","Seabiscuit","NO"
"1003","2003","SOUND EDITING","Finding Nemo","NO"
"1004","2003","SOUND EDITING","Master and Commander: The Far Side of the World","YES"
"1005","2003","SOUND EDITING","Pirates of the Caribbean: The Curse of the Black Pearl","NO"
"1006","2003","VISUAL EFFECTS","The Lord of the Rings: The Return of the King","YES"
"1007","2003","VISUAL EFFECTS","Master and Commander: The Far Side of the World","NO"
"1008","2003","VISUAL EFFECTS","Pirates of the Caribbean: The Curse of the Black Pearl","NO"
"1009","2003","Writing","American Splendor","NO"
"1010","2003","Writing","City of God","NO"
"1011","2003","Writing","The Lord of the Rings: The Return of the King","YES"
"1012","2003","Writing","Mystic River","NO"
"1013","2003","Writing","Seabiscuit","NO"
"1014","2003","Writing","The Barbarian Invasions","NO"
"1015","2003","Writing","Dirty Pretty Things","NO"
"1016","2003","Writing","Finding Nemo","NO"
"1017","2003","Writing","In America","NO"
"1018","2003","Writing","Lost in Translation","YES"
"1031","2002","ACTOR IN A LEADING ROLE","The Pianist ","YES"
"1032","2002","ACTOR IN A LEADING ROLE","Adaptation ","NO"
"1033","2002","ACTOR IN A LEADING ROLE","The Quiet American ","NO"
"1034","2002","ACTOR IN A LEADING ROLE","Gangs of New York ","NO"
"1035","2002","ACTOR IN A LEADING ROLE","About Schmidt ","NO"
"1036","2002","ACTOR IN A SUPPORTING ROLE","Adaptation ","YES"
"1037","2002","ACTOR IN A SUPPORTING ROLE","The Hours ","NO"
"1038","2002","ACTOR IN A SUPPORTING ROLE","Road to Perdition ","NO"
"1039","2002","ACTOR IN A SUPPORTING ROLE","Chicago ","NO"
"1040","2002","ACTOR IN A SUPPORTING ROLE","Catch Me If You Can ","NO"
"1041","2002","ACTRESS IN A LEADING ROLE","Frida ","NO"
"1042","2002","ACTRESS IN A LEADING ROLE","The Hours ","YES"
"1043","2002","ACTRESS IN A LEADING ROLE","Unfaithful ","NO"
"1044","2002","ACTRESS IN A LEADING ROLE","Far from Heaven ","NO"
"1045","2002","ACTRESS IN A LEADING ROLE","Chicago ","NO"
"1046","2002","ACTRESS IN A SUPPORTING ROLE","About Schmidt ","NO"
"1047","2002","ACTRESS IN A SUPPORTING ROLE","The Hours ","NO"
"1048","2002","ACTRESS IN A SUPPORTING ROLE","Chicago ","NO"
"1049","2002","ACTRESS IN A SUPPORTING ROLE","Adaptation ","NO"
"1050","2002","ACTRESS IN A SUPPORTING ROLE","Chicago ","YES"
"1056","2002","ART DIRECTION","Chicago","YES"
"1057","2002","ART DIRECTION","Frida","NO"
"1058","2002","ART DIRECTION","Gangs of New York","NO"
"1059","2002","ART DIRECTION","The Lord of the Rings: The Two Towers","NO"
"1060","2002","ART DIRECTION","Road to Perdition","NO"
"1061","2002","CINEMATOGRAPHY","Chicago","NO"
"1062","2002","CINEMATOGRAPHY","Far from Heaven","NO"
"1063","2002","CINEMATOGRAPHY","Gangs of New York","NO"
"1064","2002","CINEMATOGRAPHY","The Pianist","NO"
"1065","2002","CINEMATOGRAPHY","Road to Perdition","YES"
"1066","2002","COSTUME DESIGN","Chicago","YES"
"1067","2002","COSTUME DESIGN","Frida","NO"
"1068","2002","COSTUME DESIGN","Gangs of New York","NO"
"1069","2002","COSTUME DESIGN","The Hours","NO"
"1070","2002","COSTUME DESIGN","The Pianist","NO"
"1071","2002","DIRECTING","Chicago","NO"
"1072","2002","DIRECTING","Gangs of New York","NO"
"1073","2002","DIRECTING","The Hours","NO"
"1074","2002","DIRECTING","The Pianist","YES"
"1075","2002","DIRECTING","Talk to Her","NO"
"1085","2002","FILM EDITING","Chicago","YES"
"1086","2002","FILM EDITING","Gangs of New York","NO"
"1087","2002","FILM EDITING","The Hours","NO"
"1088","2002","FILM EDITING","The Lord of the Rings: The Two Towers","NO"
"1089","2002","FILM EDITING","The Pianist","NO"
"1095","2002","MAKEUP","Frida","YES"
"1096","2002","MAKEUP","The Time Machine","NO"
"1097","2002","Music (Scoring)","Catch Me If You Can","NO"
"1098","2002","Music (Scoring)","Far from Heaven","NO"
"1099","2002","Music (Scoring)","Frida","YES"
"1100","2002","Music (Scoring)","The Hours","NO"
"1101","2002","Music (Scoring)","Road to Perdition","NO"
"1102","2002","Music (Song)","Frida","NO"
"1103","2002","Music (Song)","The Wild Thornberrys Movie","NO"
"1104","2002","Music (Song)","Gangs of New York","NO"
"1105","2002","Music (Song)","Chicago","NO"
"1106","2002","Music (Song)","8 Mile","YES"
"1107","2002","BEST PICTURE","Chicago","YES"
"1108","2002","BEST PICTURE","Gangs of New York","NO"
"1109","2002","BEST PICTURE","The Hours","NO"
"1110","2002","BEST PICTURE","The Lord of the Rings: The Two Towers","NO"
"1111","2002","BEST PICTURE","The Pianist","NO"
"1122","2002","SOUND MIXING","Chicago","YES"
"1123","2002","SOUND MIXING","Gangs of New York","NO"
"1124","2002","SOUND MIXING","The Lord of the Rings: The Two Towers","NO"
"1125","2002","SOUND MIXING","Road to Perdition","NO"
"1126","2002","SOUND MIXING","Spider-Man","NO"
"1127","2002","SOUND EDITING","The Lord of the Rings: The Two Towers","YES"
"1128","2002","SOUND EDITING","Minority Report","NO"
"1129","2002","SOUND EDITING","Road to Perdition","NO"
"1130","2002","VISUAL EFFECTS","The Lord of the Rings: The Two Towers","YES"
"1131","2002","VISUAL EFFECTS","Spider-Man","NO"
"1132","2002","VISUAL EFFECTS","Star Wars Episode II Attack of the Clones","NO"
"1133","2002","Writing","About a Boy","NO"
"1134","2002","Writing","Adaptation","NO"
"1135","2002","Writing","Chicago","NO"
"1136","2002","Writing","The Hours","NO"
"1137","2002","Writing","The Pianist","YES"
"1138","2002","Writing","Far from Heaven","NO"
"1139","2002","Writing","Gangs of New York","NO"
"1140","2002","Writing","My Big Fat Greek Wedding","NO"
"1141","2002","Writing","Talk to Her","YES"
"1142","2002","Writing","Y Tu Mam<e1> Tambi<e9>n","NO"
"1158","2001","ACTOR IN A LEADING ROLE","A Beautiful Mind ","NO"
"1159","2001","ACTOR IN A LEADING ROLE","I Am Sam ","NO"
"1160","2001","ACTOR IN A LEADING ROLE","Ali ","NO"
"1161","2001","ACTOR IN A LEADING ROLE","Training Day ","YES"
"1162","2001","ACTOR IN A LEADING ROLE","In the Bedroom ","NO"
"1163","2001","ACTOR IN A SUPPORTING ROLE","Iris ","YES"
"1164","2001","ACTOR IN A SUPPORTING ROLE","Training Day ","NO"
"1165","2001","ACTOR IN A SUPPORTING ROLE","Sexy Beast ","NO"
"1166","2001","ACTOR IN A SUPPORTING ROLE","The Lord of the Rings: The Fellowship of the Ring ","NO"
"1167","2001","ACTOR IN A SUPPORTING ROLE","Ali ","NO"
"1168","2001","ACTRESS IN A LEADING ROLE","Monster's Ball ","YES"
"1169","2001","ACTRESS IN A LEADING ROLE","Iris ","NO"
"1170","2001","ACTRESS IN A LEADING ROLE","Moulin Rouge ","NO"
"1171","2001","ACTRESS IN A LEADING ROLE","In the Bedroom ","NO"
"1172","2001","ACTRESS IN A LEADING ROLE","Bridget Jones's Diary ","NO"
"1173","2001","ACTRESS IN A SUPPORTING ROLE","A Beautiful Mind ","YES"
"1174","2001","ACTRESS IN A SUPPORTING ROLE","Gosford Park ","NO"
"1175","2001","ACTRESS IN A SUPPORTING ROLE","Gosford Park ","NO"
"1176","2001","ACTRESS IN A SUPPORTING ROLE","In the Bedroom ","NO"
"1177","2001","ACTRESS IN A SUPPORTING ROLE","Iris ","NO"
"1181","2001","ART DIRECTION","Am<e9>lie","NO"
"1182","2001","ART DIRECTION","Gosford Park","NO"
"1183","2001","ART DIRECTION","Harry Potter and the Sorcerer's Stone","NO"
"1184","2001","ART DIRECTION","The Lord of the Rings: The Fellowship of the Ring","NO"
"1185","2001","ART DIRECTION","Moulin Rouge","YES"
"1186","2001","CINEMATOGRAPHY","Am<e9>lie","NO"
"1187","2001","CINEMATOGRAPHY","Black Hawk Down","NO"
"1188","2001","CINEMATOGRAPHY","The Lord of the Rings: The Fellowship of the Ring","YES"
"1189","2001","CINEMATOGRAPHY","The Man Who Wasn't There","NO"
"1190","2001","CINEMATOGRAPHY","Moulin Rouge","NO"
"1191","2001","COSTUME DESIGN","The Affair of the Necklace","NO"
"1192","2001","COSTUME DESIGN","Gosford Park","NO"
"1193","2001","COSTUME DESIGN","Harry Potter and the Sorcerer's Stone","NO"
"1194","2001","COSTUME DESIGN","The Lord of the Rings: The Fellowship of the Ring","NO"
"1195","2001","COSTUME DESIGN","Moulin Rouge","YES"
"1196","2001","DIRECTING","A Beautiful Mind","YES"
"1197","2001","DIRECTING","Black Hawk Down","NO"
"1198","2001","DIRECTING","Gosford Park","NO"
"1199","2001","DIRECTING","The Lord of the Rings: The Fellowship of the Ring","NO"
"1200","2001","DIRECTING","Mulholland Drive","NO"
"1209","2001","FILM EDITING","A Beautiful Mind","NO"
"1210","2001","FILM EDITING","Black Hawk Down","YES"
"1211","2001","FILM EDITING","The Lord of the Rings: The Fellowship of the Ring","NO"
"1212","2001","FILM EDITING","Memento","NO"
"1213","2001","FILM EDITING","Moulin Rouge","NO"
"1219","2001","MAKEUP","A Beautiful Mind","NO"
"1220","2001","MAKEUP","The Lord of the Rings: The Fellowship of the Ring","YES"
"1221","2001","MAKEUP","Moulin Rouge","NO"
"1222","2001","Music (Scoring)","A.I. Artificial Intelligence","NO"
"1223","2001","Music (Scoring)","A Beautiful Mind","NO"
"1224","2001","Music (Scoring)","Harry Potter and the Sorcerer's Stone","NO"
"1225","2001","Music (Scoring)","The Lord of the Rings: The Fellowship of the Ring","YES"
"1226","2001","Music (Scoring)","Monsters, Inc.","NO"
"1227","2001","Music (Song)","Monsters, Inc.","YES"
"1228","2001","Music (Song)","The Lord of the Rings: The Fellowship of the Ring","NO"
"1229","2001","Music (Song)","Pearl Harbor","NO"
"1230","2001","Music (Song)","Kate & Leopold","NO"
"1231","2001","Music (Song)","Vanilla Sky","NO"
"1232","2001","BEST PICTURE","A Beautiful Mind","YES"
"1233","2001","BEST PICTURE","Gosford Park","NO"
"1234","2001","BEST PICTURE","In the Bedroom","NO"
"1235","2001","BEST PICTURE","The Lord of the Rings: The Fellowship of the Ring","NO"
"1236","2001","BEST PICTURE","Moulin Rouge","NO"
"1247","2001","SOUND MIXING","Am<e9>lie","NO"
"1248","2001","SOUND MIXING","Black Hawk Down","YES"
"1249","2001","SOUND MIXING","The Lord of the Rings: The Fellowship of the Ring","NO"
"1250","2001","SOUND MIXING","Moulin Rouge","NO"
"1251","2001","SOUND MIXING","Pearl Harbor","NO"
"1252","2001","SOUND EDITING","Monsters, Inc.","NO"
"1253","2001","SOUND EDITING","Pearl Harbor","YES"
"1254","2001","VISUAL EFFECTS","A.I. Artificial Intelligence","NO"
"1255","2001","VISUAL EFFECTS","The Lord of the Rings: The Fellowship of the Ring","YES"
"1256","2001","VISUAL EFFECTS","Pearl Harbor","NO"
"1257","2001","Writing","A Beautiful Mind","YES"
"1258","2001","Writing","Ghost World","NO"
"1259","2001","Writing","In the Bedroom","NO"
"1260","2001","Writing","The Lord of the Rings: The Fellowship of the Ring","NO"
"1261","2001","Writing","Shrek","NO"
"1262","2001","Writing","Am<e9>lie","NO"
"1263","2001","Writing","Gosford Park","YES"
"1264","2001","Writing","Memento","NO"
"1265","2001","Writing","Monster's Ball","NO"
"1266","2001","Writing","The Royal Tenenbaums","NO"
"1295","2000","ACTOR IN A LEADING ROLE","Before Night Falls ","NO"
"1296","2000","ACTOR IN A LEADING ROLE","Gladiator ","YES"
"1297","2000","ACTOR IN A LEADING ROLE","Cast Away ","NO"
"1298","2000","ACTOR IN A LEADING ROLE","Pollock ","NO"
"1299","2000","ACTOR IN A LEADING ROLE","Quills ","NO"
"1300","2000","ACTOR IN A SUPPORTING ROLE","The Contender ","NO"
"1301","2000","ACTOR IN A SUPPORTING ROLE","Shadow of the Vampire ","NO"
"1302","2000","ACTOR IN A SUPPORTING ROLE","Traffic ","YES"
"1303","2000","ACTOR IN A SUPPORTING ROLE","Erin Brockovich ","NO"
"1304","2000","ACTOR IN A SUPPORTING ROLE","Gladiator ","NO"
"1305","2000","ACTRESS IN A LEADING ROLE","The Contender ","NO"
"1306","2000","ACTRESS IN A LEADING ROLE","Chocolat ","NO"
"1307","2000","ACTRESS IN A LEADING ROLE","Requiem for a Dream ","NO"
"1308","2000","ACTRESS IN A LEADING ROLE","You Can Count on Me ","NO"
"1309","2000","ACTRESS IN A LEADING ROLE","Erin Brockovich ","YES"
"1310","2000","ACTRESS IN A SUPPORTING ROLE","Chocolat ","NO"
"1311","2000","ACTRESS IN A SUPPORTING ROLE","Pollock ","YES"
"1312","2000","ACTRESS IN A SUPPORTING ROLE","Almost Famous ","NO"
"1313","2000","ACTRESS IN A SUPPORTING ROLE","Almost Famous ","NO"
"1314","2000","ACTRESS IN A SUPPORTING ROLE","Billy Elliot ","NO"
"1315","2000","ART DIRECTION","Crouching Tiger, Hidden Dragon","YES"
"1316","2000","ART DIRECTION","Dr. Seuss' How the Grinch Stole Christmas","NO"
"1317","2000","ART DIRECTION","Gladiator","NO"
"1318","2000","ART DIRECTION","Quills","NO"
"1319","2000","ART DIRECTION","Vatel","NO"
"1320","2000","CINEMATOGRAPHY","Crouching Tiger, Hidden Dragon","YES"
"1321","2000","CINEMATOGRAPHY","Gladiator","NO"
"1322","2000","CINEMATOGRAPHY","Mal<e8>na","NO"
"1323","2000","CINEMATOGRAPHY","O Brother, Where Art Thou?","NO"
"1324","2000","CINEMATOGRAPHY","The Patriot","NO"
"1325","2000","COSTUME DESIGN","Crouching Tiger, Hidden Dragon","NO"
"1326","2000","COSTUME DESIGN","Dr. Seuss' How the Grinch Stole Christmas","NO"
"1327","2000","COSTUME DESIGN","Gladiator","YES"
"1328","2000","COSTUME DESIGN","102 Dalmatians","NO"
"1329","2000","COSTUME DESIGN","Quills","NO"
"1330","2000","DIRECTING","Billy Elliot","NO"
"1331","2000","DIRECTING","Crouching Tiger, Hidden Dragon","NO"
"1332","2000","DIRECTING","Erin Brockovich","NO"
"1333","2000","DIRECTING","Gladiator","NO"
"1334","2000","DIRECTING","Traffic","YES"
"1345","2000","FILM EDITING","Almost Famous","NO"
"1346","2000","FILM EDITING","Crouching Tiger, Hidden Dragon","NO"
"1347","2000","FILM EDITING","Gladiator","NO"
"1348","2000","FILM EDITING","Traffic","YES"
"1349","2000","FILM EDITING","Wonder Boys","NO"
"1355","2000","MAKEUP","The Cell","NO"
"1356","2000","MAKEUP","Dr. Seuss' How the Grinch Stole Christmas","YES"
"1357","2000","MAKEUP","Shadow of the Vampire","NO"
"1358","2000","Music (Scoring)","Chocolat","NO"
"1359","2000","Music (Scoring)","Crouching Tiger, Hidden Dragon","YES"
"1360","2000","Music (Scoring)","Gladiator","NO"
"1361","2000","Music (Scoring)","Mal<e8>na","NO"
"1362","2000","Music (Scoring)","The Patriot","NO"
"1363","2000","Music (Song)","Meet the Parents","NO"
"1364","2000","Music (Song)","Dancer in the Dark","NO"
"1365","2000","Music (Song)","Crouching Tiger, Hidden Dragon","NO"
"1366","2000","Music (Song)","The Emperor's New Groove","NO"
"1367","2000","Music (Song)","Wonder Boys","YES"
"1368","2000","BEST PICTURE","Chocolat","NO"
